Range	40.0dB	-107.0dBm
Fixed unit	1	gcs	-06.83282	 107.38730	491.0
Mobile unit	2	drone	-07.14406	 106.54141	1976.0
Latitude	Longitude	Rx(dB)	Best unit
-06.16252	 106.42056	-022.5	1
-06.16252	 106.43217	-020.5	1
-06.16252	 106.44380	-017.9	1
-06.16252	 106.45541	-019.5	1
-06.16252	 106.46703	-017.9	1
-06.16252	 106.47865	-017.5	1
-06.16252	 106.49027	-017.5	1
-06.16252	 106.50188	-015.9	1
-06.16252	 106.51352	-016.7	1
-06.16252	 106.52513	-016.7	1
-06.16252	 106.53675	-013.7	1
-06.16252	 106.54837	-016.0	1
-06.16252	 106.55999	-018.0	1
-06.16252	 106.57161	-018.5	1
-06.16252	 106.58323	-019.2	1
-06.16252	 106.59485	-018.2	1
-06.16252	 106.60646	-013.6	1
-06.16252	 106.61809	-003.0	1
-06.16252	 106.62971	 010.2	1
-06.16252	 106.64133	 012.8	1
-06.16252	 106.65294	 016.6	1
-06.16252	 106.66457	 016.8	1
-06.16252	 106.67619	 011.9	1
-06.16252	 106.68781	-010.0	1
-06.16252	 106.69942	-002.0	1
-06.16252	 106.71104	-001.0	1
-06.16252	 106.72266	 012.2	1
-06.16252	 106.73428	 017.1	1
-06.16252	 106.74590	 016.8	1
-06.16252	 106.75752	 018.2	1
-06.16252	 106.76914	 017.0	1
-06.16252	 106.78075	 017.1	1
-06.16252	 106.79237	 018.2	1
-06.16252	 106.80400	 018.6	1
-06.16252	 106.81562	 017.2	1
-06.16252	 106.82722	 018.6	1
-06.16252	 106.83886	 018.7	1
-06.16252	 106.85048	-012.7	1
-06.16252	 106.86210	-020.1	1
-06.16252	 106.87371	-020.2	1
-06.16252	 106.88533	-021.4	1
-06.16252	 106.89696	-023.6	1
-06.16252	 106.90858	-025.8	1
-06.16252	 106.92019	-025.5	1
-06.16252	 106.93182	-025.0	1
-06.16252	 106.94344	-022.3	1
-06.16252	 106.95506	-018.4	1
-06.16252	 106.96667	-014.0	1
-06.16252	 106.97829	-016.4	1
-06.16252	 106.98991	-014.6	1
